Designator,Footprint,Quantity,Value,LCSC Part #
"3V3, 5V1, AMP_OUT1, DAC_OUT1, POT_OUT1",TestPoint_Pad_1.0x1.0mm,5,TestPoint,
"C1, C2, C7, C8, C9",CP_Radial_Tantal_D5.0mm_P2.50mm,5,1uF,
C3,C_Axial_L5.1mm_D3.1mm_P15.00mm_Horizontal,1,10uF,
C4,CP_Radial_Tantal_D5.0mm_P2.50mm,1,.1 uF,
C5,CP_Radial_Tantal_D5.0mm_P2.50mm,1,1.0 uF,
C6,CP_Radial_Tantal_D5.0mm_P2.50mm,1,4.7 uF,
IC1,ti_TLV5618AIP,1,TLV5618AIP,
J1,SJ13553NG,1,SJ1-3553NG,
"J2, J4",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04_Socket,
J3,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10_Socket,
"LED1, LED10, LED2, LED3, LED4, LED5, LED6, LED9",LEDC1608X80N,8,150060BS75000,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",TO-92_Inline,8,2N7000,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1,20k,
"R10, R2, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,3,10k,
"R11, R16, R20, R5",R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,4,8k,
"R12, R13, R17, R21",R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,4,2k,
"R14, R15, R18, R19, R22, R6, R7, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,8,330,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1,14k,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1,3k,
RS1,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1,1.5k,
RV1,PinHeader_1x03_P2.54mm_Vertical,1,R_Potentiometer,
"S1, S2, S3, S4",KS11R23CQD,4,RIGHT,
SW1,SW_PUSH_6mm,1,SW_Reset,
U1,ti_EKTM4C123GXL,1,EK-TM4C123GXL,
U5,DIP-8_W7.62mm_LongPads,1,MCP34119P,
U6,TO-92_Inline,1,LM4041LP-ADJ,
